WikiID,Label
Q102260466,body horror film
Q102429885,coming-of-age film
Q102706436,magic realist film
Q1027879,graphics
Q102932,avant-garde
Q1036289,construction and management simulation
Q104011663,Op Art in America
Q1044478,shoot 'em up
Q1047337,genre art
Q1054254,Informalism
Q1054574,romance film
Q105527,jazz fusion
Q1062404,artist's book
Q10663882,science fiction horror film
Q107542373,space opera video game
Q1076539,choro
Q108084492,arthouse science fiction film
Q10822316,concrete art
Q108466999,comedy horror film
Q108874,happening
Q108908,Fluxus
Q10922,hardcore punk
Q10953913,luxury
Q109626272,natural horror film
Q109629396,psychological horror film
Q109733304,psychological thriller film
Q109733333,political thriller film
Q11060274,print
Q111278985,American football film
Q1115187,commedia all'italiana
Q112110143,marionette film
Q1123841,concept art
Q113485322,crime drama film
Q11356864,essay film
Q1135802,art film
Q11365,grunge
Q11366,alternative rock
Q11399,rock music
Q11401,hip-hop
Q11403,samba
Q1143132,roguelike
Q114413232,gothic horror film
Q1146335,teen film
Q1146354,fashion photography
Q1153484,folk art
Q11629,art of painting
Q11633,photography
Q11634,art of sculpture
Q11635,theatre
Q116456802,war drama
Q116514801,historical drama film
Q1166618,mathematical logic
Q11700058,folk-pop
Q11766730,allegorical painting
Q11835431,engraving
Q11851144,New Wave
Q1199309,life simulation game
Q1200678,mystery film
Q1207347,Shibuya-kei
Q12132683,science fiction novel
Q12271,architecture
Q12303833,floral painting
Q123305,appropriation
Q12404052,Jewish art
Q124357128,gabberpop
Q1246516,feminist art
Q1257444,film adaptation
Q1259759,miniseries
Q128115,abstract art
Q1281618,sculptor
Q1286756,60s
Q1286846,50s
Q1287518,shaped canvas
Q12912091,fiction film
Q1298934,synth-pop
Q130130466,sword and sorcery film
Q130232,drama film
Q131221,futurism
Q131272,soul
Q131539,children's literature
Q131578,J-pop
Q13209138,auteur film
Q1338153,20th-century classical music
Q1339864,sport film
Q1341051,post-apocalyptic film
Q134147,pop art
Q1342372,monster film
Q134307,portrait
Q1344,opera
Q1353984,landscape photography
Q1361932,family film
Q1366112,drama television series
Q13717398,maze video game
Q1376265,computer art
Q1384423,experimental photography
Q139106,engraving process
Q1400853,portrait painting
Q1421557,light art
Q1428637,spoken word
Q1431327,pub rock
Q1433443,sword-and-sandal film
Q1436734,adventure
Q1443316,Christmas music
Q147516,magic realism
Q1497126,commercial art
Q150091,neo-impressionism
Q1507298,lo-fi music
Q1535153,superhero film
Q1541229,American folk music
Q1551015,group portrait
Q1562657,Lustspiel
Q15637299,drama anime and manga
Q15637310,romance anime and manga
Q157394,fantasy film
Q157443,comedy film
Q1578378,Precisionism
Q15852218,urban art
Q158607,marine art
Q160476,German Expressionism
Q1615638,submarine film
Q1622217,figurative art
Q162324,International Style
Q1633309,Yōga
Q1640319,experimental music
Q1641839,experimental rock
Q164444,funk
Q166030,Veduta
Q1661,verse
Q166509,color photography
Q167776,Italian neorealism
Q16875712,animal art
Q16950433,comedy thriller
Q169672,samurai cinema
Q17013749,historical film
Q170539,parody
Q170571,still life
Q170593,collaging
Q17175676,animated cartoon
Q1728571,capitalist realism
Q172980,Western film
Q17310537,sculpture
Q173436,minimalism
Q173782,Art Deco
Q1744327,sound art
Q174526,cyberpunk
Q17514,graffiti
Q175173,massively multiplayer online role-playing game
Q1764356,Italian design
Q17737,theory
Q1776156,girls with guns
Q1786567,medical drama
Q178659,illustration
Q1800833,rockumentary
Q180268,gospel music
Q180902,socialist realism
Q181169,sports photography
Q181861,noise rock
Q182015,thriller
Q1823737,text-based video game
Q182956,portrait photography
Q183504,indie rock
Q18353841,architectural painting
Q184296,tapestry
Q18450913,high school film
Q185029,first-person shooter
Q1851397,street photography
Q185162,Latin rock
Q18536349,polemical lampoon
Q185529,pornographic film
Q185867,film noir
Q186030,contemporary art
Q186472,folk rock
Q187760,new wave
Q18811686,interior view
Q18822288,architectural view
Q188473,action film
Q188539,glam metal
Q1892535,space flight simulation game
Q1894374,tech noir
Q191163,landscape painting
Q191489,melodrama
Q1919632,melodrama
Q191970,suprematism
Q192110,self-portrait
Q192881,tragicomedy
Q193207,ambient music
Q193355,blues rock
Q193541,French New Wave
Q1935609,propaganda film
Q1935974,cityscape
Q19367312,crime thriller film
Q19547247,family portrait
Q1957385,cinematic fairy tale
Q1957814,furniture construction
Q1971461,social choice theory
Q197949,post-apocalyptic fiction
Q200092,horror film
Q202866,animated film
Q203209,conceptual art
Q20437094,installation artwork
Q20442589,LGBT-related film
Q20443008,dystopian film
Q205560,trip hop
Q206159,psychedelic rock
Q20656232,science fiction action film
Q207103,constructivism
Q20741242,multi-channel video installation
Q208555,parable
Q2096633,pirate film
Q21010853,drama fiction
Q210121,social documentary photography
Q21030988,survival game
Q211573,garage rock
Q211781,free jazz
Q21192427,crossover fiction
Q212431,installation art
Q212781,Spaghetti Western
Q213156,performance art
Q2137852,vampire film
Q21401869,flashback film
Q214127,genre painting
Q2143665,children's film
Q21590660,Western
Q217213,action painting
Q217467,art rock
Q217597,electro
Q21802675,adventure fiction
Q219423,mural
Q222639,swashbuckler film
Q224700,comedy horror
Q2254193,rape and revenge film
Q22669857,collage
Q226730,silent film
Q2281409,dance-rock
Q2292320,sexploitation film
Q2296495,garage punk
Q2297927,spy film
Q22981906,treasure hunt film
Q2302151,animal painting
Q2316866,geometric abstraction
Q2332751,avant-garde music
Q2355696,experimental art
Q235858,traditional folk music
Q236913,space rock
Q236932,acid rock
Q23916,adventure video game
Q2407862,Americana
Q2414609,religious painting
Q2415966,prehistoric archaeology
Q2416307,outsider music
Q2421031,neo-noir
Q2439025,erotic thriller
Q245117,relief sculpture
Q2484376,thriller film
Q248583,screwball comedy film
Q24862,short film
Q24925,science fiction
Q24960157,non-fiction film
Q25094849,art pop
Q25110269,live-action animated film
Q251192,downtempo
Q2535546,rationalism
Q25372,drama
Q25379,play
Q25397095,sandbox game
Q25533274,detective film
Q255546,vanguard
Q2561815,bioart
Q262343,assemblage
Q2628513,graphic adventure game
Q2642760,vigilante film
Q270948,action game
Q27190,proto-punk
Q2724311,new queer cinema
Q273383,memento mori
Q2736181,punk jazz
Q2740415,site-specific art
Q2743,musical
Q276308,Nouveau réalisme
Q27670585,science fiction video game
Q28026639,Christmas film
Q281108,naïve art
Q2839016,allegory
Q2864737,religious art
Q2865836,artivism
Q2933810,visual pun
Q29527347,figure
Q2973181,speculative fiction film
Q2975633,coming-of-age fiction
Q2991560,sex comedy
Q2994332,rock en español
Q3006706,analytical cubism
Q3038946,romantic drama
Q3071,punk rock
Q3072039,trial film
Q3072049,zombie film
Q3139891,LGBT-related literature
Q316930,dance music
Q31888058,ghost film
Q319221,adventure film
Q326439,high fantasy
Q326478,land art
Q3305213,painting
Q3327002,medieval film
Q333353,futurist architecture
Q333357,abstract painting
Q336059,science fiction television program
Q3374353,battle painting
Q3374376,mythological painting
Q3381576,black-and-white photography
Q3397882,progressive pop
Q343568,action-adventure game
Q34508,video recording
Q34636,Art Nouveau
Q3476508,animal sculpture
Q35760,essay
Q36279,biography
Q3650833,Cynical realism
Q368002,New Figuration
Q369418,hard-edge painting
Q369747,war film
Q3697780,social commentary
Q37073,pop music
Q372600,Tachisme
Q374278,agitprop
Q3745430,satirical film or television program
Q377910,post-hardcore
Q378604,new media art
Q379671,post-grunge
Q383898,military art
Q383982,psychedelic pop
Q3840596,dark wave
Q3870443,narrative art
Q3889661,marchinha
Q39427,surrealism
Q3990883,action thriller
Q40446,nude
Q40831,comedy
Q4164344,documentary
Q422635,action art
Q4282636,shooter game
Q4292083,mecha
Q429785,poster
Q43343,folk music
Q438503,alternative hip-hop
Q43911809,supernatural horror film
Q442431,Xerox art
Q45621,ceramic
Q457832,stoner film
Q459290,independent film
Q459435,mockumentary
Q45981,rhythm and blues
Q46046,baroque pop
Q466521,kinetic art
Q468478,space opera
Q4686573,adventure science fiction
Q47009776,apocalyptic film
Q471839,science fiction film
Q474090,narrative poetry
Q4765076,animated documentary
Q47783,postmodernism
Q482,poetry
Q482919,caricature
Q484641,pop rock
Q485395,gothic rock
Q487914,pop-punk
Q487965,industrial music
Q4907378,biker poetry
Q492537,dramaturgy
Q49451,progressive rock
Q496523,heist film
Q50030,watercolor
Q506858,photojournalism
Q5151495,comedy music
Q5151497,comedy of remarriage
Q517386,live action
Q52162262,film based on literature
Q52207310,film based on book
Q52207399,film based on a novel
Q5258881,werewolf film
Q53094,black comedy
Q5366020,science fiction anime and manga
Q5376667,endurance art
Q542475,period drama film
Q542554,screen test
Q5442753,female buddy film
Q5446356,fiber art
Q5448026,figure painting
Q546264,beat music
Q54767,puzzle video game
Q550484,video installation
Q557141,public art
Q56305705,Independent film of the United States
Q56351111,classic rock
Q57261466,social-artistic project
Q572901,minimalist music
Q572916,found object
Q576913,Arte Povera
Q5769663,gothic film
Q57775833,endless runner game
Q5778924,black comedy film
Q58339,disco
Q584105,music video game
Q586250,prison film
Q588289,city-building game
Q589655,neo-expressionism
Q590103,psychological thriller
Q590870,cinematography
Q594150,outsider art
Q596594,concrete poetry
Q598929,post-punk
Q599558,erotic film
Q6010,rapping
Q6034,Dada
Q604725,psychological horror
Q612024,contemporary classical music
Q612277,theatrical photography
Q613408,country rock
Q613707,expressionist music
Q61507686,space trading and combat game
Q615498,documentary photography
Q61686009,atelier scene
Q622370,docudrama
Q622548,parody film
Q623715,aleatoric music
Q628165,road movie
Q631931,decorative art
Q635309,architectural photography
Q635427,batik
Q643782,New German Cinema
Q645717,Christian art
Q645928,biographical film
Q650316,drone music
Q650466,Neue Wilde
Q652256,epic film
Q66230650,tube shooter
Q663106,buddy film
Q667404,intertextuality
Q67467614,merveilleux scientifique
Q676,prose
Q678649,body art
Q682010,video art
Q699,fairy tale
Q7007522,New European Painting
Q7046534,nocturne
Q7101826,Organic abstraction
Q7168625,historical drama
Q7207520,poetry film
Q72332052,transparent watercolor
Q7251595,protest art
Q7252,feminism
Q726239,noise music
Q727553,French Impressionist Cinema
Q733095,vanitas
Q735478,newsreel
Q737201,scenography
Q739672,blank verse
Q742333,history painting
Q744038,role-playing video game
Q7444356,gangster film
Q7499861,shock art
Q753520,Christian rock
Q753683,metaphysical painting
Q7579035,sponsored film
Q7603925,television documentary
Q76092,glam rock
Q761469,science fiction comedy
Q7749,rock and roll
Q7759116,"Quilts of Gees Bend, Alabama"
Q78461348,action-adventure film
Q790188,avant-garde jazz
Q790192,experimental film
Q794912,dark fantasy
Q80113,Expressionism
Q8087,geometry
Q80930,tragedy
Q817138,electronica
Q821499,combine painting
Q823080,no wave
Q823560,musique concrète
Q8253,fiction
Q82571,linear algebra
Q82604,design
Q8261,novel
Q828107,photomontage
Q831354,smooth jazz
Q83270,hard rock
Q8341,jazz
Q83440,country music
Q835891,funk rock
Q837837,power pop
Q838948,work of art
Q840430,decoupage
Q842256,musical film
Q843393,Mail-Art
Q845421,neoplasticism
Q846224,fighting game
Q846544,disaster film
Q846561,monochrome painting
Q848969,Conceptualism
Q851869,pictorialism
Q853630,slasher film
Q85422949,video game with LGBT character
Q859369,comedy drama
Q860372,digital art
Q860626,romantic comedy
Q862490,massively multiplayer online game
Q868217,sports video game
Q877693,rap rock
Q878985,modernism
Q883179,blaxploitation film
Q885561,blue-eyed soul
Q906647,Dixieland jazz
Q9089200,totalism
Q919036,retrofuturism
Q93184,drawing
Q93204,documentary film
Q9326077,speculative fiction
Q9335577,crime television series
Q936749,literary nonsense
Q939559,photorealism
Q940462,music hall
Q941875,Rayonism
Q959790,crime film
Q96195505,cinematic platformer
Q964658,outlaw country
Q9730,classical music
Q9734,symphony
Q9759,blues
Q9778,electronic music
Q98526239,television series based on a novel
Q998555,book illustration
